SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC1C=C(C(=O)OC/C=C/N)C(=CC=1O)Cl;2/000000023;InChI=1S/C10H10ClNO4/c11-7-5-9(14)8(13)4-6(7)10(15)16-3-1-2-12/h1-2,4-5,13-14H,3,12H2/b2-1+;C10H10NO4Cl;243;1.63;3.45;-0.49;3.85;0
OC1=CC=C(C=C1)C1=CC=C(C(=C1)O)F;2/000000051;InChI=1S/C12H9FO2/c13-11-6-3-9(7-12(11)15)8-1-4-10(14)5-2-8/h1-7,14-15H;C12H9O2F;204;3.31;3.15;-0.66;1.00;-160
OC1C=C(C(=O)OC/C=C(\COC)/N)C(=CC=1O)Cl;2/000000038;InChI=1S/C12H14ClNO5/c1-18-6-7(14)2-3-19-12(17)8-4-10(15)11(16)5-9(8)13/h2,4-5,15-16H,3,6,14H2,1H3/b7-2+;C12H14NO5Cl;287;1.35;3.50;-2.67;3.85;-60
OC1C=C(C(=O)C2=NN=C(S2)N)C(=CC=1O)Cl;2/000000020;InChI=1S/C9H6ClN3O3S/c10-4-2-6(15)5(14)1-3(4)7(16)8-12-13-9(11)17-8/h1-2,14-15H,(H2,11,13);C9H6N3O3SCl;271;1.82;3.09;-2.39;2.22;-20
O[C@@H](CC1=NCC=C1)C1C=CC=C2C=1OC(=N2)S;2/000000030;InChI=1S/C13H12N2O2S/c16-11(7-8-3-2-6-14-8)9-4-1-5-10-12(9)17-13(18)15-10/h1-5,11,16H,6-7H2,(H,15,18)/t11-/m0/s1;C13H12N2O2S;260;0.58;3.39;-4.80;19.30;-190
OC1C=C(C(=O)C2=NN=C(S2)N)C(=CC=1O)Cl;2/000000007;InChI=1S/C9H6ClN3O3S/c10-4-2-6(15)5(14)1-3(4)7(16)8-12-13-9(11)17-8/h1-2,14-15H,(H2,11,13);C9H6N3O3SCl;271;1.82;3.09;-2.39;2.22;-20
OC1C=C(C(=O)C2=NN=C(S2)N)C(=CC=1O)Cl;2/000000034;InChI=1S/C9H6ClN3O3S/c10-4-2-6(15)5(14)1-3(4)7(16)8-12-13-9(11)17-8/h1-2,14-15H,(H2,11,13);C9H6N3O3SCl;271;1.82;3.06;-2.89;2.22;0
O=N(=O)CC/C=C\C1C(F)=CC=C(C=1Br)C(=O)[O-];2/000000031;InChI=1S/C11H9BrFNO4/c12-10-7(3-1-2-6-14(17)18)9(13)5-4-8(10)11(15)16/h1,3-5H,2,6H2,(H,15,16)/p-1/b3-1-;C11H8NO4FBr;317;2.79;3.34;-7.58;2.35;-60
S[C@H](CC(=O)C1=CC(O)=C(C=C1Cl)O)C;2/000000010;InChI=1S/C10H11ClO3S/c1-5(15)2-8(12)6-3-9(13)10(14)4-7(6)11/h3-5,13-15H,2H2,1H3/t5-/m0/s1;C10H11O3SCl;246;2.47;3.00;-2.06;2.22;-190
O[C@@H](CCl)C1=CON=C1O;2/000000032;InChI=1S/C5H6ClNO3/c6-1-4(8)3-2-10-7-5(3)9/h2,4,8H,1H2,(H,7,9)/t4-/m0/s1;C5H6NO3Cl;163;0.64;3.01;5.36;1.00;-150
